"","eventSec","y1","x1","is_goal","is_blocked","is_CA","body_part","foot","angle","distance","minute"
"4546",539,56.25,11.55,0,0,0,"right","right",0.0257385941047895,91.2056193444242,9
"4547",652,50.41,13.65,0,0,0,"right","right",0.0367978633203257,87.8954526696347,11
"4548",676,21.16,11.55,1,0,0,"right","right",0.147827166410199,89.3771117233042,11
"4549",809,49,9.45,1,0,0,"right","right",0.027920316398923,91.7839991501787,13
"4550",909,38.44,13.65,0,0,0,"left","left",0.0604620158178606,86.4640740423443,15
"4551",995,13.69,12.6,0,0,0,"left","right",0.270369206739287,89.7287919232172,17
"4552",1004,30.25,19.95,0,0,0,"right","right",0.111893100606936,80.1377875911233,17
"4553",1230,47.61,7.35,0,0,0,"head/body","right",0.0233135452285748,93.644298278112,21
"4554",1344,34.81,25.2,0,0,0,"right","right",0.100276673608713,74.804385566623,22
"4555",1676,20.25,11.55,0,0,0,"left","right",0.158167577199127,89.5123734463566,28
"4556",1868,26.01,6.3,1,0,0,"right","right",0.0655222488580771,94.0400451935238,31
"4557",2031,16.81,22.05,0,0,0,"left","right",0.210508772211966,79.8229202673017,34
"4558",2419,43.56,11.55,0,0,0,"right","right",0.0418822187383214,88.9651398020596,40
"4559",2822,50.41,27.3,0,0,0,"right","right",0.0609790511300201,74.5290419903543,47
"4560",215,17.64,7.35,0,0,0,"right","right",0.151759126335308,94.0833253026274,4
"4561",1655,17.64,10.5,0,0,1,"right","right",0.186189498886508,90.9829632403781,28
"4562",1692,53.29,19.95,0,0,0,"left","right",0.0452589234561968,82.3414027084795,28
"4563",1866,40.96,11.55,1,0,0,"right","right",0.0469947218269668,88.7234134825752,31
"4564",2077,12.25,14.7,0,0,0,"right","left",0.29607170761323,88.0292707001484,35
"4565",2325,25,8.4,1,0,0,"left","left",0.0898937045478396,92.0410777859538,39
"4566",2455,11.56,16.8,0,0,0,"left","left",0.296538107994631,86.1730445092896,41
"4567",2614,21.16,10.5,0,0,0,"right","right",0.140205130663328,90.4163458673264,44
"4568",711,10.24,30.45,0,0,0,"right","right",0.215414978442896,73.4965312106633,12
"4569",857,15.21,26.25,0,0,0,"right","right",0.208763098436736,76.106022100751,14
"4570",990,47.61,23.1,0,0,0,"right","right",0.0605990029596255,78.0950837121006,17
"4571",1314,26.01,9.45,0,0,0,"left","left",0.0916767968887232,90.9018294645383,22
"4572",1789,25,7.35,1,0,0,"head/body","right",0.0806537240162684,93.0861026147298,30
"4573",1883,43.56,10.5,0,0,0,"right","right",0.0385202339170085,90.0091306479515,31
"4574",316,24.01,26.25,0,0,0,"right","right",0.152268586626154,74.4235352559928,5
"4575",865,26.01,21,0,0,0,"left","right",0.13833421855375,79.4030232421915,14
"4576",1946,22.09,29.4,0,0,0,"right","right",0.159367963673892,71.5975425555933,32
"4577",122,33.64,10.5,0,0,0,"head/body","right",0.0624824599648268,89.5007240194179,2
"4578",395,22.09,9.45,0,0,0,"head/body","right",0.12206622086808,91.3298998138069,7
"4579",556,15.21,11.55,0,0,0,"head/body","right",0.236141683864782,90.4238165529414,9
"4580",1335,38.44,12.6,0,0,0,"right","right",0.0567671100163858,87.5127053632785,22
"4581",1931,10.24,28.35,0,0,0,"left","right",0.227796607545012,75.4868207040143,32
"4582",1983,47.61,8.4,0,0,0,"right","right",0.0264530653648121,92.6055727264834,33
"4583",1995,39.69,13.65,0,0,0,"right","right",0.0570919247142085,86.5372671165435,33
"4584",2034,33.64,11.55,1,0,0,"right","right",0.0674448354336041,88.4507326142639,34
"4585",2515,12.25,18.9,0,0,0,"right","right",0.273125988700375,83.9659008169388,42
"4586",2864,20.25,2.1,0,0,0,"head/body","right",0.0383080644989486,98.8608744650785,48
"4587",190,8.41,21,0,0,0,"right","right",0.299208061088243,83.0412433673774,3
"4588",2105,14.44,9.45,0,0,0,"left","right",0.238578235469842,92.6385238440251,35
"4589",2304,8.41,22.05,0,0,0,"left","left",0.288661834285183,82.0429801994052,38
"4590",2440,23.04,30.45,0,0,0,"right","right",0.153082330833041,70.4082672702574,41
"4591",2575,16.81,9.45,0,0,1,"left","left",0.190620268955215,92.1672317041149,43
"4592",120,20.25,10.5,1,0,0,"right","right",0.15047635095465,90.5500552180947,2
"4593",509,33.64,28.35,0,0,0,"right","right",0.107556543465167,71.6509043906635,8
"4594",553,40.96,21,0,0,0,"left","left",0.0728854826412008,79.305999773031,9
"4595",638,38.44,17.85,1,0,0,"right","right",0.0731570517013239,82.2698978971045,11
"4596",782,11.56,23.1,0,0,0,"right","right",0.253066161207162,80.1072006750954,13
"4597",1124,25,5.25,1,0,0,"head/body","right",0.0600528463194233,95.1764808132766,19
"4598",1256,27.04,24.15,0,0,0,"right","right",0.135052636444448,76.168655626839,21
"4599",1934,47.61,23.1,0,0,0,"right","right",0.0605990029596255,78.0950837121006,32
"4600",2057,12.25,10.5,0,0,0,"right","right",0.301771943126827,92.1048994353721,34
"4601",2148,13.69,23.1,0,0,0,"left","right",0.234556866140668,79.5368222900563,36
"4602",2358,26.01,4.2,0,0,0,"head/body","right",0.0451303271365039,96.1326172534588,39
"4603",2497,12.96,25.2,0,0,0,"left","right",0.229499273259356,77.7027772991416,42
"4604",2691,27.04,17.85,0,0,0,"right","right",0.125412669676629,82.4443090819494,45
"4605",2720,33.64,12.6,0,0,0,"right","right",0.0720995436953334,87.4007414156196,45
"4606",198,49,14.7,0,0,0,"left","left",0.0413039263429997,86.6088332677447,3
"4607",401,19.36,4.2,1,0,0,"right","right",0.0809300249211151,96.9121746737736,7
"4608",543,7.84,22.05,0,0,1,"right","right",0.293386191427461,82.2225522590974,9
"4609",590,11.56,24.15,0,0,0,"right","right",0.246199646797624,79.0997857139955,10
"4610",1066,19.36,10.5,0,0,0,"head/body","right",0.161535152133919,90.6894679662418,18
"4611",1164,29.16,9.45,0,0,0,"left","left",0.0745464084601248,90.6792594808758,19
"4612",1346,22.09,7.35,0,0,0,"head/body","right",0.101433713904561,93.4123685600574,22
"4613",1543,17.64,7.35,1,0,0,"head/body","right",0.151759126335308,94.0833253026274,26
"4614",1703,15.21,11.55,0,0,0,"head/body","right",0.236141683864782,90.4238165529414,28
"4615",1894,16,11.55,0,0,0,"right","right",0.221173813699863,90.2629630579453,32
"4616",2248,57.76,4.2,0,0,1,"right","right",0.00920325751049504,98.7024700805405,37
"4617",2535,26.01,7.35,1,0,0,"right","right",0.0748819988413757,92.993884745181,42
"4618",2753,24.01,8.4,0,0,0,"head/body","right",0.096735760540465,92.1431500438313,46
"4619",233,37.21,19.95,0,0,0,"right","right",0.082356111164161,80.1143345475702,4
"4620",611,31.36,25.2,0,0,0,"left","left",0.114422127026621,74.8465737358765,10
"4621",679,7.29,13.65,0,0,1,"left","right",0.416161325766044,90.3866505630118,11
"4622",722,9,22.05,0,0,0,"left","left",0.283592718309501,81.8608728270106,12
"4623",1511,13.69,19.95,0,0,1,"right","right",0.249954946200751,82.5863100035351,25
"4624",2515,24.01,10.5,0,0,0,"head/body","right",0.113656379265052,90.0558165806074,42
"4625",2708,34.81,18.9,0,0,0,"left","left",0.08870489455201,81.1040449052943,45
"4626",2854,24.01,9.45,0,0,0,"right","right",0.105637448188877,91.0994105359634,48
"4627",236,4.84,23.1,0,0,0,"left","left",0.301551214503427,82.2430276680036,4
"4628",547,34.81,26.25,0,0,0,"left","left",0.101457000427164,73.7544480014596,9
"4629",823,28.09,8.4,0,0,0,"left","right",0.0725351205000087,91.7904575650432,14
"4630",968,10.24,13.65,0,0,0,"left","right",0.345286517129834,89.5592546864923,16
"4631",1157,27.04,8.4,1,0,0,"head/body","right",0.0778405904578439,91.8640386658457,19
"4632",1296,14.44,10.5,0,0,0,"left","right",0.246574555580381,91.6124642174852,22
"4633",1651,16.81,5.25,0,0,0,"right","right",0.128789186712469,96.2967216472087,28
"4634",1737,28.09,6.3,0,0,0,"head/body","right",0.0565000820441301,93.8861976011384,29
"4635",1939,27.04,29.4,0,0,0,"right","right",0.135194816892621,70.942241295296,32
"4636",2026,36,9.45,0,0,1,"left","right",0.0503791238293325,90.5720845514776,34
"4637",2045,5.76,11.55,0,0,0,"left","right",0.504318159378734,92.8488023616891,34
"4638",2372,30.25,4.2,0,0,0,"right","right",0.0334301268212191,95.8733670004345,40
"4639",2485,15.21,28.35,0,0,0,"right","right",0.200393927237802,74.0728465768665,41
"4640",156,47.61,12.6,0,0,0,"right","right",0.0382189736414363,88.453332893679,3
"4641",192,43.56,9.45,0,0,0,"head/body","left",0.0350392072458011,91.0532596890413,3
"4642",195,20.25,3.15,0,0,0,"head/body","right",0.0566500960264338,97.8211889111965,3
"4643",628,44.89,6.3,1,0,0,"right","right",0.0225864656214363,94.3307060293731,10
"4644",1126,32.49,13.65,0,0,0,"head/body","right",0.0811529230392345,86.3632016544083,19
"4645",1245,50.41,12.6,0,0,0,"right","right",0.0343177645059577,88.9272067479914,21
"4646",1684,33.64,14.7,0,0,0,"head/body","right",0.0804677446788993,85.300759668364,28
"4647",1772,14.44,10.5,0,0,0,"right","right",0.246574555580381,91.6124642174852,30
"4648",1927,14.44,9.45,0,0,0,"left","right",0.238578235469842,92.6385238440251,32
"4649",2047,27.04,4.2,1,0,0,"head/body","right",0.0417811499335291,96.052493981156,34
"4650",297,16,13.65,0,0,0,"right","right",0.228867208960653,88.2061364078486,5
"4651",335,16.81,9.45,0,0,0,"head/body","right",0.190620268955215,92.1672317041149,6
"4652",625,26.01,19.95,1,0,0,"left","left",0.136762508313094,80.4477631758646,10
"4653",1076,36,12.6,0,0,0,"left","right",0.0639022462159911,87.4228803002967,18
